age_range,agent_turns,analysis_group,claim_hash,clearer_next_steps,consent_given,constructive_challenge,created_at,duration_seconds,ended_at,expression_ease,feedback_report_available,founder_experience,has_report,idea_impact_index,industry_domain,most_valuable_part,next_time_preference,prior_voice_ai_familiarity,quality_flags,refined_idea,report_actionability,report_digestibility,report_organization,report_overall_score,report_utility_index,report_verdict,session_id,stage,total_turns,turn_taking_ease,uid_hash,user_turns,voice,voice_hurdles,voice_naturalness,voice_ux_index
18_24,5,report_backed_feedback,c4e6bc50a9da,2,True,2,2026-04-02T20:11:33.309350+00:00,397.36,2026-04-02T20:18:10.665397+00:00,5,True,student_explorer,True,2.33,prefer_not_to_say,weaknesses_exposed,voice,weekly_or_more,duplicate_claim|duplicate_user,3,3,4,3,3.0,3.33,"The founder struggled to articulate a scalable business model, failing to address the fundamental unit economics of a two-sided marketplace and resorting to vague, reactive answers under pressure.",20260402_201133_57275ef9,early,10,3,e348bb5ea5c4,5,Iapetus,turn_taking|speech_recognition|needed_more_time,4,4.0
25_34,2,report_backed_feedback,a9bf2dbf15e9,3,True,3,2026-04-14T14:51:02.265227+00:00,225.62,2026-04-14T14:54:47.885558+00:00,3,True,student_explorer,True,3.67,services_agency,weaknesses_exposed,both_depends,monthly,duplicate_user,5,5,5,5,4.4,5.0,"The founder preserved a plausible use case, but the defense never moved beyond intent and narrowing the segment; the judges consistently found the adoption, retention, and competitive logic under-argued.",20260414_145102_74aa19c8,early,5,4,a01bb566221f,3,Orus,audio_quality_lag|turn_taking,4,3.67
,4,no_report_feedback,9d64477770cf,5,True,5,2026-04-19T23:28:34.387983+00:00,,,5,False,,False,5.0,,live_pushback,both_depends,,not_finalized|missing_report|feedback_says_no_report|duplicate_claim|duplicate_user,5,,,,,,,20260419_232834_495ea63e,early,6,5,7cdce6b28a6c,2,Umbriel,other,5,5.0
,5,report_backed_feedback,06ae59c99d27,4,True,4,2026-04-22T16:19:31.405608+00:00,166.02,2026-04-22T16:22:17.422062+00:00,4,True,,True,4.0,,live_pushback,both_depends,,duplicate_user,4,3,4,4,2.0,3.67,"The founder never answered the core objections about incumbent risk, wrapper vulnerability, or whether the product is painful enough to become a must-have, so the panel overwhelmingly sided with the agent.",20260422_161931_21a1e6a4,early,9,3,6da85bc58e27,4,Algieba,turn_taking,4,3.67
,4,report_backed_feedback,cda70bb8f254,5,True,5,2026-04-22T16:50:31.794166+00:00,166.54,2026-04-22T16:53:18.330309+00:00,5,True,,True,4.67,,defending_out_loud,voice,,duplicate_user,4,5,5,5,3.0,5.0,"The founder clearly articulated the utility, but never solved the central investor problem raised in the debate: a low-frequency reminder product with a subscription model is still a fragile business if users only notice it when they want to cancel.",20260422_165031_1f7420c6,early,7,4,6da85bc58e27,3,Sadachbia,nothing_major,5,4.67
,5,no_report_feedback,ec8fc1724796,5,True,5,2026-04-23T14:29:29.029825+00:00,,,4,False,,False,4.67,,weaknesses_exposed,both_depends,,not_finalized|missing_report|feedback_says_no_report,4,,,,,,,20260423_142929_bb6e80d5,early,8,5,295ea758356f,3,Aoede,speech_recognition|awkward_speaking_out_loud,4,4.33
,6,no_report_feedback,37a56b68ee78,4,True,3,2026-04-24T04:17:02.141494+00:00,,,3,False,,False,3.67,,weaknesses_exposed,text_chat,,not_finalized|missing_report|feedback_says_no_report|duplicate_claim,4,,,,,,,20260424_041702_bc06a1a8,late,11,5,8bd3ed162d2b,5,Puck,speech_recognition|awkward_speaking_out_loud|audio_quality_lag,3,3.67
25_34,6,no_report_feedback,74b824434dbe,4,True,4,2026-04-26T20:53:34.907214+00:00,,,4,False,first_time_founder,False,4.0,consumer,weaknesses_exposed,voice,a_few_times,not_finalized|missing_report|feedback_says_no_report,4,,,,,,,20260426_205334_14b247e4,early,12,2,3014f6460b1f,6,Fenrir,turn_taking|speech_recognition,4,3.33
,5,no_report_feedback,0a5ab191aacf,5,True,5,2026-04-28T19:09:07.425407+00:00,,,5,False,,False,5.0,,live_pushback,no_preference,,not_finalized|missing_report|feedback_says_no_report,5,,,,,,,20260428_190907_5f2df88f,late,10,5,ac373ce778c1,5,Despina,nothing_major,5,5.0
,3,no_report_feedback,25aa64c61bef,1,True,4,2026-04-28T22:34:37.260085+00:00,,,2,False,,False,2.33,,weaknesses_exposed,text_chat,,not_finalized|missing_report|feedback_says_no_report|duplicate_user,2,,,,,,,20260428_223437_fc5fba36,early,6,5,bc24b60f3ab9,3,Leda,needed_more_time|pace_too_fast,2,3.0
