analysis_group,claim_hash,consent_given,duration_seconds,ended,has_feedback,has_report,quality_flags,session_id,total_turns,uid_hash
no_feedback,7278caa69d6b,True,135.54,True,False,True,missing_post_debate_feedback|duplicate_user,20260304_013932,6,b23a6a8439c0
no_feedback,a39bec7c3dc2,True,116.44,True,False,True,missing_post_debate_feedback|duplicate_user|testish_claim,20260304_033642,9,b23a6a8439c0
no_feedback,24d88f58bd5f,False,,False,False,False,no_consent|not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_user,20260304_153312,1,b23a6a8439c0
no_feedback,5f8d3017b5ca,False,,False,False,False,no_consent|not_finalized|missing_post_debate_feedback|missing_report|duplicate_user,20260305_204307,4,b23a6a8439c0
no_feedback,b138e2230bf8,False,,False,False,False,no_consent|not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_user,20260305_204530,2,b23a6a8439c0
no_feedback,9f86d081884c,True,132.84,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|duplicate_claim|duplicate_user|testish_claim,20260306_201743,3,b23a6a8439c0
no_feedback,d72b2307be8f,True,33.71,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|too_few_agent_turns|duration_lt45s|duplicate_user|testish_claim,20260306_210457,2,b23a6a8439c0
no_feedback,9f86d081884c,True,12.55,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|too_few_agent_turns|duration_lt45s|duplicate_claim|duplicate_user|testish_claim,20260306_215811,0,b23a6a8439c0
no_feedback,07773129aef8,True,50.8,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|duplicate_user,20260306_223800,3,cb88a9a452a8
no_feedback,cebe5d91dece,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_user,20260306_230046,1,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260306_231508,1,cb88a9a452a8
no_feedback,9f86d081884c,True,13.91,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|too_few_agent_turns|duration_lt45s|duplicate_claim|duplicate_user|testish_claim,20260306_231554,0,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260306_231703,1,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260306_232007,1,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260306_232248,1,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260306_232551,1,cb88a9a452a8
no_feedback,9f86d081884c,True,45.2,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|duplicate_claim|duplicate_user|testish_claim,20260306_232844,3,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260307_021546,1,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260307_022718,1,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260307_022738,0,cb88a9a452a8
no_feedback,cf80cd8aed48,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_user|testish_claim,20260307_023006,0,cb88a9a452a8
no_feedback,9f86d081884c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260307_033923,1,cb88a9a452a8
no_feedback,9f86d081884c,True,11.6,True,False,False,missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duration_lt45s|duplicate_claim|duplicate_user|testish_claim,20260307_054614,0,1cc395e0e35f
no_feedback,9f86d081884c,True,76.19,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|duplicate_claim|duplicate_user|testish_claim,20260307_054656,3,1cc395e0e35f
no_feedback,9f86d081884c,True,21.15,True,False,False,missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duration_lt45s|duplicate_claim|duplicate_user|testish_claim,20260307_060222,1,1cc395e0e35f
no_feedback,e4417d546933,True,250.95,True,False,True,missing_post_debate_feedback,20260307_195730,8,c8d0968a83ed
no_feedback,fca2ac4821b4,True,231.03,True,False,True,missing_post_debate_feedback,20260308_153135,7,84181ec258e2
no_feedback,50f5cbb5c906,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|duplicate_user,20260309_041405,8,6da85bc58e27
no_feedback,00d11132a27b,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260311_174715,0,6da85bc58e27
no_feedback,00d11132a27b,True,257.14,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260311_174835,2,6da85bc58e27
no_feedback,03a91f51185f,True,96.97,True,False,False,missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user,20260314_160818,1,953b40bf3466
no_feedback,03a91f51185f,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|duplicate_claim|duplicate_user,20260314_161005,8,953b40bf3466
no_feedback,2b52caf4aaa6,True,109.12,True,False,True,missing_post_debate_feedback|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_user,20260314_204532,2,953b40bf3466
no_feedback,ef638d8ea92d,True,34.92,True,False,False,missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duration_lt45s|duplicate_user,20260314_204744,0,953b40bf3466
no_feedback,6bac3ce1450c,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_user,20260315_051902,1,6da85bc58e27
no_feedback,00d11132a27b,True,107.14,True,False,True,missing_post_debate_feedback|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260315_053142,5,a24f6edbd2a6
no_feedback,00d11132a27b,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|duplicate_claim|duplicate_user|testish_claim,20260315_053823,3,a24f6edbd2a6
no_feedback,00d11132a27b,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260315_053930,3,a24f6edbd2a6
no_feedback,82d4db228da2,True,759.83,True,False,True,missing_post_debate_feedback|duration_gt10m|duplicate_user|testish_claim,20260315_061959,15,a24f6edbd2a6
no_feedback,e3b0c44298fc,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260315_065105,0,a24f6edbd2a6
no_feedback,e3b0c44298fc,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260315_065114,0,a24f6edbd2a6
no_feedback,e3b0c44298fc,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260315_065135,0,a24f6edbd2a6
no_feedback,e3b0c44298fc,True,,False,False,False,not_finalized|missing_post_debate_feedback|missing_report|too_few_turns|too_few_user_turns|too_few_agent_turns|duplicate_claim|duplicate_user|testish_claim,20260315_065225,0,a24f6edbd2a6
